Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_symbol,radial_position
ENSMUSG00000003813.15,1454.399,0.018930889252939245,0.12074283695734338,-0.15678685154322855,0.8754128356357909,0.9438194309704286,ENSMUSG00000003813,Rad23a,0.679088344221045
ENSMUSG00000003814.8,12053.591,-0.11674003154453415,0.03946926929730656,2.9577449398715023,0.0030989843031781197,0.020234472657279776,ENSMUSG00000003814,Calr,0.679088344221045
ENSMUSG00000003808.18,1199.8877,-0.032544454951055034,0.06013721960383149,0.5411699304598636,0.5883904612569528,0.7840701260294121,ENSMUSG00000003808,Farsa,0.679088344221045
ENSMUSG00000003809.14,901.23425,-0.2686824579969159,0.09954082774910697,2.6992186429686025,0.006950249735767022,0.03811813572777195,ENSMUSG00000003809,Gcdh,0.679088344221045
ENSMUSG00000003812.13,400.29352,-0.001388949784971572,0.08623966698951556,0.01610569513377679,0.987150070045367,0.9949717982285634,ENSMUSG00000003812,Dnase2a,0.679088344221045
ENSMUSG00000053693.16,5159.6235,-0.0909624263087568,0.051444071339419445,1.768180937869435,0.0770306598836378,0.22380829523518206,ENSMUSG00000053693,Mast1,0.679088344221045
ENSMUSG00000048617.16,242.52992,-0.4023865806740639,0.1373912217241132,2.9287648484709705,0.0034031177125324443,0.021798918102878106,ENSMUSG00000048617,Rtbdn,0.679088344221045
ENSMUSG00000052926.16,523.2782,-0.012822339219326873,0.09230589886068973,0.13891137378639967,0.8895201831282127,0.9511783817950965,ENSMUSG00000052926,Rnaseh2a,0.679088344221045
ENSMUSG00000005161.15,3598.8894,-0.15177801757853931,0.07253728184968565,2.092413910588202,0.036401505493473936,0.13198635682978763,ENSMUSG00000005161,Prdx2,0.679088344221045
ENSMUSG00000052837.6,426.17407,-0.7321101956416286,0.2777567197197455,2.6357965214318573,0.008394005012105212,0.044014061304353536,ENSMUSG00000052837,Junb,0.679088344221045
ENSMUSG00000052566.8,857.4841,-0.031082588060806115,0.1406294373397193,0.22102476301401774,0.8250731516615233,0.9195738852171347,ENSMUSG00000052566,Hook2,0.679088344221045
